"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000143321",1.85724559487067,0.241503938482557,1.11667468078016,0.21627063158075,0.828776799952021,0.89585745023075
"ENSMUSG00000019777",1457.76598309221,-0.0451398532538318,0.208847795028969,-0.216137562034449,0.828880521349794,0.895900625175342
"ENSMUSG00000082180",1.41668354119134,0.318906401943987,1.47562272859569,0.216116488153772,0.828896947713594,0.895900625175342
"ENSMUSG00000098811",2.17947124552695,-0.314409615787335,1.45516323734112,-0.216064842568333,0.828937203984098,0.895911732508527
"ENSMUSG00000041697",3098.59071232193,-0.0400928454181212,0.18576920762694,-0.215820726859293,0.82912749134057,0.896084986120632
"ENSMUSG00000092564",91.4770589502972,-0.0459530337156942,0.213074223162231,-0.215666789880568,0.82924748984161,0.896182264806404
"ENSMUSG00000121359",32.0204238872367,-0.242994868281581,1.1271053417745,-0.215591976433199,0.829305810610884,0.896212882663569
"ENSMUSG00000027404",3657.45948723055,-0.0281058962920321,0.130483846705561,-0.215397514724205,0.82945740749625,0.896230856738078
"ENSMUSG00000102595",4.14465865222233,-0.199898529386281,0.92862515600161,-0.215262884161987,0.829562365420692,0.896230856738078
"ENSMUSG00000023156",44.9435497546546,0.0765192877741574,0.355164851693161,0.215447242060611,0.829418640857262,0.896230856738078
"ENSMUSG00000066626",1.91872356770558,-0.23231769665179,1.07860074424804,-0.215388036667592,0.829464796485257,0.896230856738078
"ENSMUSG00000133265",1.35265923476156,-0.273732790815359,1.27049340500641,-0.215453925015831,0.829413430963532,0.896230856738078
"ENSMUSG00000052632",2132.9803423248,-0.0295141488996909,0.137086766719637,-0.215295389963144,0.829537023634424,0.896230856738078
"ENSMUSG00000022615",452.548489302988,-0.0527381021989344,0.244973126452907,-0.215281173745695,0.82954810669105,0.896230856738078
"ENSMUSG00000117779",5.29987525182183,-0.156668000835285,0.72748678853964,-0.215355114764051,0.829490462157455,0.896230856738078
"ENSMUSG00000092627",3.38159200277658,-0.258835956857596,1.20330718637123,-0.215103807065391,0.829686385772446,0.896233310013889
"ENSMUSG00000071478",2.02559249151542,0.310320366198718,1.4423277899329,0.215152455887406,0.829648457523636,0.896233310013889
"ENSMUSG00000064373",26039.1049135254,-0.0467013798578892,0.217186256948868,-0.21502916673445,0.82974457864256,0.896233310013889
"ENSMUSG00000022636",8158.92201287205,-0.0415013648613947,0.192961156711915,-0.215076264925977,0.829707858721506,0.896233310013889
"ENSMUSG00000022865",2164.11088754942,0.0375404522444257,0.174552791375628,0.215066467563047,0.829715497166608,0.896233310013889
"ENSMUSG00000090273",19.8799320927557,0.0828355190058043,0.384912656460632,0.215206015223032,0.829606701333293,0.896233310013889
"ENSMUSG00000085378",1.65267625871156,0.41593233701427,1.93761072328985,0.214662487162572,0.830030471650542,0.896477307268235
"ENSMUSG00000045104",7.54622377908554,0.14218757151299,0.662277488296552,0.214694858311901,0.830005231581973,0.896477307268235
"ENSMUSG00000072762",101.286781761449,-0.0778931781577567,0.362981800836776,-0.21459251669971,0.83008502883233,0.896493979266027
"ENSMUSG00000024740",11135.432717638,-0.0227416890106523,0.105989375832263,-0.214565741444152,0.830105906179568,0.896493979266027
"ENSMUSG00000005510",1525.90914624747,0.03764182670085,0.175591657758698,0.214371384047061,0.830257455175915,0.89661991545164
"ENSMUSG00000021065",1158.50458804457,-0.0273099858399349,0.127415714268303,-0.214337658402381,0.83028375318496,0.89661991545164
"ENSMUSG00000042050",707.492617660713,-0.029683006797362,0.138510973925788,-0.214300758676822,0.830312526442534,0.89661991545164
"ENSMUSG00000139097",1.84490361373483,-0.237906520666731,1.11075581848498,-0.214184356910436,0.830403294408022,0.896685530265197
"ENSMUSG00000105645",8.76801940344426,-0.14081868016917,0.657654713288969,-0.214122513415783,0.830451519753092,0.896705203653035
"ENSMUSG00000106241",11.7392913806032,0.122592037339667,0.572969188640559,0.21395921416042,0.83057886302145,0.896713104860297
"ENSMUSG00000142061",1.5378937672626,-0.241864364248405,1.13028982956445,-0.21398437632727,0.830559240887079,0.896713104860297
"ENSMUSG00000120142",135.736148102514,-0.0507477195994533,0.23716789685355,-0.213973814638115,0.830567477163441,0.896713104860297
"ENSMUSG00000113948",392.342896159696,-0.044936836878712,0.209977526524835,-0.214007839898034,0.830540943458808,0.896713104860297
"ENSMUSG00000002384",2.04586724452792,-0.263347498057987,1.23204626933908,-0.213748058503726,0.830743532042723,0.896858484576595
"ENSMUSG00000021969",1998.21909239074,0.0516588518028717,0.241902334101817,0.213552514880358,0.83089603270141,0.896958315256617
"ENSMUSG00000035284",2660.07395808229,-0.0582622264880866,0.272786991982925,-0.213581395742409,0.83087350867932,0.896958315256617
"ENSMUSG00000144053",1.33313390966348,-0.235790975503207,1.10469936465845,-0.213443569396917,0.830980999922262,0.897017634795437
"ENSMUSG00000067224",7.83748173105532,0.124292420806301,0.582506617521838,0.213375122389303,0.83103438315522,0.897042857367188
"ENSMUSG00000030866",15.2076494997026,-0.126258173228578,0.592539433449172,-0.213079781869756,0.831264734254805,0.89724561853339
"ENSMUSG00000024078",355.742598287177,0.0295684733119586,0.13878179194363,0.213057295902106,0.831282272799289,0.89724561853339
"ENSMUSG00000035305",359.197148578889,0.0523971596183061,0.246254548237878,0.212776413646952,0.831501361661582,0.897297521115941
"ENSMUSG00000050552",822.59058194382,-0.034483000918139,0.1619940807615,-0.212865808158185,0.831431632297665,0.897297521115941
