"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000024338",6492.90051624228,-3.21366647252964,0.123639759801635,-25.9921766079582,6.07082650425907e-149,3.78927499670286e-146
"ENSMUSG00000031551",1797.72549643905,-7.96140172712082,0.310110386776765,-25.6727993211394,2.35323523114949e-145,1.43690589505493e-142
"ENSMUSG00000068245",1967.43557025825,-4.35657372940232,0.170029356915709,-25.6224796025199,8.57052610321494e-145,5.12189228057662e-142
"ENSMUSG00000104713",2289.70174794656,-7.21397936680389,0.286367631994747,-25.1913224848548,4.98627022419434e-140,2.91779912619106e-137
"ENSMUSG00000039501",6025.94288911789,-2.18140394957081,0.0872441222602956,-25.0034488634377,5.60756716639602e-138,3.2143948279537e-135
"ENSMUSG00000060802",65474.2691225493,-3.43454887814498,0.139027285849932,-24.7041352864522,9.65468732468505e-135,5.42361715151507e-132
"ENSMUSG00000105096",2089.61671900123,-9.05746693844743,0.366972429287403,-24.6816006206119,1.68575510101253e-134,9.28421358377252e-132
"ENSMUSG00000070327",19062.1372731334,-3.89376977770011,0.162176206338731,-24.0095009348494,2.21282722518104e-127,1.19526713655548e-124
"ENSMUSG00000070427",2449.60416652603,-4.04180169744249,0.168951180337827,-23.9228970721642,1.76977498770716e-126,9.37913959522994e-124
"ENSMUSG00000022906",4070.36259878529,-3.28804810454569,0.138073888599098,-23.8136851066218,2.40976684135021e-125,1.25343575999712e-122
"ENSMUSG00000029605",558.567624906281,-3.23387963803782,0.136905370930608,-23.6212766238145,2.33004665401626e-123,1.18993364396379e-120
"ENSMUSG00000036986",2535.33573621216,-2.49726798406575,0.107983491353633,-23.1263867537632,2.51313790969614e-118,1.26051817156331e-115
"ENSMUSG00000068606",1334.67297732663,-9.1327699682643,0.398364268145132,-22.9256755652017,2.57700589250818e-116,1.26987616682052e-113
"ENSMUSG00000041827",564.367116069376,-4.45010739547461,0.19487728992285,-22.8354335040085,2.03961416998151e-115,9.87735910455874e-113
"ENSMUSG00000024371",973.35319955155,-2.47866779022293,0.108729012872914,-22.7967469282561,4.9388187885619e-115,2.35121257852757e-112
"ENSMUSG00000079339",886.595301573368,-3.73417435843048,0.164884745046821,-22.6471791394049,1.48733668699014e-113,6.96271881069649e-111
"ENSMUSG00000024339",6889.8822687832,-2.55903500199503,0.113183620091551,-22.6095878531283,3.48780264451461e-113,1.60599017506764e-110
"ENSMUSG00000063268",3076.65964413265,-2.52775740764979,0.113399965605695,-22.2906364578548,4.55471411747516e-110,2.0634324214781e-107
"ENSMUSG00000041481",3713.51392185683,-3.96329853349421,0.17980643608688,-22.042028192913,1.13918307720148e-107,5.07894829721193e-105
"ENSMUSG00000134402",1622.59416660687,-7.57393405305636,0.345553470649703,-21.9182693746817,1.73945348812657e-106,7.63402649601547e-104
"ENSMUSG00000096727",3592.97983413069,-4.03282836145351,0.18408078419392,-21.9079268871711,2.1829495177197e-106,9.43302862364782e-104
"ENSMUSG00000032661",2039.22641011206,-6.40649485504301,0.298460364821306,-21.4651444887119,3.29723760379312e-102,1.40322439114153e-99
"ENSMUSG00000037816",883.237478137118,-2.15491897304288,0.100527174903802,-21.4361835504181,6.14513491633285e-102,2.57618730641727e-99
"ENSMUSG00000001123",6290.6641689746,-1.81847089111696,0.0858814313320535,-21.1742033511993,1.65150557810625e-99,6.82168951144829e-97
"ENSMUSG00000040328",801.165833556517,-5.42112427084269,0.257858692323902,-21.0236243036286,3.98788786866926e-98,1.62335933993017e-95
"ENSMUSG00000092021",1139.38703901257,-6.57667316441876,0.313334939213038,-20.9892748664944,8.2190062774117e-98,3.29793497599914e-95
"ENSMUSG00000024308",13139.3944353516,-2.38654281970155,0.114526399312916,-20.8383642026577,1.9436754746794e-96,7.68928968067534e-94
"ENSMUSG00000026104",5381.23218787962,-4.76371130417585,0.229246642913045,-20.7798519692293,6.58613817517613e-96,2.56932568144927e-93
"ENSMUSG00000034438",2430.0109993644,-5.42161603497811,0.261277463316398,-20.7504159224507,1.21535546268406e-95,4.67628825148901e-93
"ENSMUSG00000054072",27568.4346896029,-7.21464891334347,0.348561122561585,-20.6983752528762,3.5824522196928e-95,1.35978267495583e-92
"ENSMUSG00000041515",3605.91981756765,-2.27606685012684,0.110512112748564,-20.5956324019009,3.00340781952579e-94,1.12479625113121e-91
"ENSMUSG00000097194",411.671896114336,-4.22889575769588,0.206379785333475,-20.4908428936618,2.59855443773505e-93,9.6037101377766e-91
"ENSMUSG00000058163",528.25354009373,-5.44262771151108,0.266398584531517,-20.4303927555861,8.97769343562312e-93,3.27487601584133e-90
"ENSMUSG00000038037",685.894327505767,-4.08253158296436,0.200964954774056,-20.3146443495799,9.54386944165082e-92,3.43677185739857e-89
"ENSMUSG00000029298",5873.68356981638,-4.27207515105295,0.210951411710635,-20.2514650952562,3.44830257948838e-91,1.22602433990721e-88
"ENSMUSG00000073409",625.575611630152,-4.1887456281201,0.210607030080093,-19.8889164645983,5.07599682954692e-88,1.78218248685392e-85
"ENSMUSG00000038213",2905.96829552447,-2.65285569451854,0.133395290392311,-19.8871765765986,5.25517311117826e-88,1.82231237465154e-85
"ENSMUSG00000091649",1204.50310616644,-4.90166183842762,0.246781343229536,-19.862367933821,8.61513962974399e-88,2.95100051122255e-85
"ENSMUSG00000074151",6051.57501174726,-4.66052408666539,0.23529363433232,-19.8072680541924,2.57692302621764e-87,8.7205558988435e-85
"ENSMUSG00000034855",4264.0131319086,-7.48321967992893,0.380881823131679,-19.6470905815367,6.12230811810384e-86,2.0471832193012e-83
"ENSMUSG00000024066",41170.7704739344,-1.66251473777278,0.0849633936241729,-19.5674238852411,2.93128749198335e-85,9.68635330292097e-83
"ENSMUSG00000015947",961.158018577954,-4.24197452705175,0.217808222879384,-19.4757317743731,1.76385890223878e-84,5.7608452146608e-82
"ENSMUSG00000000386",773.20980530225,-6.02781391135736,0.314449249404732,-19.1694332957331,6.66306625508572e-82,2.15117476980285e-79
"ENSMUSG00000050014",996.61671855013,-6.29304659970888,0.328542135030271,-19.1544582223192,8.88450388357673e-82,2.83577210320345e-79
"ENSMUSG00000097006",1116.54193186627,-2.08188108902141,0.109168654587682,-19.0703191945018,4.45577002289618e-81,1.40622099329335e-78
"ENSMUSG00000032596",4711.48376617659,-3.10930219629893,0.163923237580703,-18.968037980388,3.13386776700067e-80,9.78045309327941e-78
